Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des 45-59 ans 2019
02211;Condé-sur-Suippe;19.5
02212;Condren;23.5
02213;Connigis;21
02214;Contescourt;23
02215;Corbeny;18.6
02216;Corcy;28.2
02217;Coucy-le-Château-Auffrique;20.4
02218;Coucy-lès-Eppes;19.5
02219;Coucy-la-Ville;20.3
02220;Coulonges-Cohan;25.5
02221;Coupru;26
02222;Courbes;16.7
02223;Courboin;27.2
02224;Courcelles-sur-Vesle;22.3
02225;Courchamps;18.9
02226;Courmelles;21.2
02227;Courmont;21.7
02228;Courtemont-Varennes;20.7
02229;Courtrizy-et-Fussigny;14.9
02230;Couvrelles;23.1
02231;Couvron-et-Aumencourt;16.2
02232;Coyolles;27.7
02233;Cramaille;18.2
02234;Craonne;16.7
02235;Craonnelle;20.2
02236;Crécy-au-Mont;19.7
02237;Crécy-sur-Serre;21
02238;Crépy;20.1
02239;Crézancy;18.2
02240;Croix-Fonsomme;24.7
02241;La Croix-sur-Ourcq;28.6
02242;Crouttes-sur-Marne;24.7
02243;Crouy;21.4
02244;Crupilly;13.6
02245;Cuffies;21
02246;Cugny;18.4
02248;Cuirieux;16.7
02249;Cuiry-Housse;13.7
02250;Cuiry-lès-Chaudardes;21.1
02251;Cuiry-lès-Iviers;14.8
02252;Cuissy-et-Geny;31
02253;Cuisy-en-Almont;21
02254;Cutry;25.4
02255;Cys-la-Commune;24.2
02256;Dagny-Lambercy;16.8
02257;Dallon;22.8
02258;Dammard;29.5
02259;Dampleux;29.4
02260;Danizy;18.8
02261;Dercy;22.8
02262;Deuillet;20.9
02263;Dhuizel;25
02264;Dizy-le-Gros;22.6
02265;Dohis;15.5
02266;Dolignon;30.6
02267;Dommiers;23.6
02268;Domptin;22.6
02269;Dorengt;19.5
02270;Douchy;17.2
02271;Dravegny;21.2
02272;Droizy;24.3
02273;Dury;22.1
02274;Ébouleau;26
02275;Effry;20.9
02276;Englancourt;21.3
02277;Épagny;17.8
02278;Éparcy;48.4
02279;Épaux-Bézu;24.5
02280;Épieds;23.5
02281;L'Épine-aux-Bois;22.7
02282;Eppes;19.7
02283;Erlon;24
02284;Erloy;14.4
02286;Esquéhéries;19
02287;Essigny-le-Grand;24.9
02288;Essigny-le-Petit;19.5
02289;Essises;24.8
02290;Essômes-sur-Marne;23.1
02291;Estrées;17.6
02292;Étampes-sur-Marne;21.6
02293;Étaves-et-Bocquiaux;19.2
02294;Étouvelles;23.9
02295;Étréaupont;17.1
02296;Étreillers;21
02297;Étrépilly;18.7
02298;Étreux;21.6
02299;Évergnicourt;24.3
02302;Faverolles;24.9
02303;Fayet;21.6
02304;La Fère;16.3
02305;Fère-en-Tardenois;19.4
02306;La Ferté-Chevresis;19.6
02307;La Ferté-Milon;19.5
02308;Fesmy-le-Sart;23.9
02309;Festieux;19
02310;Fieulaine;24
02311;Filain;18.6
02312;La Flamengrie;21.3
02313;Flavigny-le-Grand-et-Beaurain;18.5
02315;Flavy-le-Martel;18.2
02316;Fleury;25.8
02317;Fluquières;24.3
02318;Folembray;23.8
02319;Fonsomme;19.6
02320;Fontaine-lès-Clercs;30.1
02321;Fontaine-lès-Vervins;21.1
02322;Fontaine-Notre-Dame;19.2
02323;Fontaine-Uterte;12.3
02324;Fontenelle;18.5
02326;Fontenoy;19.8
02327;Foreste;10.3
02328;Fossoy;29
02329;Fourdrain;22
02330;Francilly-Selency;22.4
