Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2018
02472;Mauregny-en-Haye;N/A
02473;Mayot;N/A
02474;Mennessis;N/A
02476;Mennevret;N/A
02477;Mercin-et-Vaux;N/A
02478;Merlieux-et-Fouquerolles;N/A
02480;Mesbrecourt-Richecourt;N/A
02481;Mesnil-Saint-Laurent;N/A
02482;Meurival;N/A
02483;Mézières-sur-Oise;N/A
02484;Mézy-Moulins;N/A
02485;Missy-aux-Bois;N/A
02486;Missy-lès-Pierrepont;N/A
02487;Missy-sur-Aisne;N/A
02488;Molain;N/A
02489;Molinchart;N/A
02490;Monampteuil;N/A
02491;Monceau-le-Neuf-et-Faucouzy;N/A
02492;Monceau-lès-Leups;N/A
02493;Monceau-le-Waast;N/A
02494;Monceau-sur-Oise;N/A
02495;Mondrepuis;N/A
02496;Monnes;N/A
02497;Mons-en-Laonnois;N/A
02498;Montaigu;N/A
02499;Montbavin;N/A
02500;Montbrehain;N/A
02501;Montchâlons;N/A
02502;Montcornet;N/A
02503;Mont-d'Origny;N/A
02504;Montescourt-Lizerolles;N/A
02505;Montfaucon;N/A
02506;Montgobert;N/A
02507;Montgru-Saint-Hilaire;N/A
02508;Monthenault;N/A
02509;Monthiers;N/A
02510;Monthurel;N/A
02511;Montigny-en-Arrouaise;N/A
02512;Montigny-l'Allier;N/A
02513;Montigny-le-Franc;N/A
02514;Montigny-Lengrain;N/A
02515;Montigny-lès-Condé;N/A
02516;Montigny-sous-Marle;N/A
02517;Montigny-sur-Crécy;N/A
02518;Montlevon;N/A
02519;Montloué;N/A
02520;Mont-Notre-Dame;N/A
02521;Montreuil-aux-Lions;N/A
02522;Mont-Saint-Jean;N/A
02523;Mont-Saint-Martin;N/A
02524;Mont-Saint-Père;N/A
02525;Morcourt;N/A
02526;Morgny-en-Thiérache;N/A
02527;Morsain;N/A
02528;Mortefontaine;N/A
02529;Mortiers;N/A
02530;Moulins;N/A
02531;Moussy-Verneuil;N/A
