"Code","Département","Commune","Exprimés_T1","Abstentions_T1","Nb_voix_Le_Pen_T1","Voix_Le_Pen_T1","Exprimés_T2","Abstentions_T2","Nb_voix_Le_Pen_T2","Voix_Le_Pen_T2","Age_18_24ans","Age_30_44ans","Age_45_59ans","Agriculteurs_exploitants","Artisans_commerçants_chefs_d'entreprise","Cadres_professions_intellectuelles_supérieures","Employés","Ouvriers","Professions_intermédiaires","Retraités","Sans_activité_professionelles_ou_autre","Chômage","Salariés_emploi_précaire","Non_diplomés_non_scolarisés","Diplomés_supérieur_non_scolarisés","Indicateur_dépendance_économique","Immigrés","Vivant_quartier_prioritaire","Densité_population","Médiane_revenu_dispo_par_unité_consommation","Ressource_plus_50_pct_Caf","Rsa"
"97111","Guadeloupe","Deshaies",1661,2172,218,13.12,1613,2089,976,60.51,6.5,13.3,27.3,1.7,6.1,3.5,15.8,8.5,9.5,26.3,28.6,26.7,22.2,41.4,17,106,2.9,0,128.55,NA,49.3,153
"97112","Guadeloupe","Grand-Bourg",1569,3316,276,17.59,1674,3099,1091,65.17,5.1,14.5,24.7,4.3,5.8,3,17.7,9.9,7.7,30,21.6,26.6,27.4,49,14.6,119,5.2,0,87.68,NA,51.5,179.5
"97113","Guadeloupe","Le Gosier",9626,10899,1517,15.76,8866,11026,5468,61.67,6.1,18.3,23.3,0.3,7.4,8.1,18.2,8.9,14.5,22.2,20.4,20.8,14.7,31.5,31.1,97,5.5,0,586.04,NA,44.3,162.9
"97114","Guadeloupe","Goyave",2409,3023,410,17.02,2363,2862,1584,67.03,7.6,17.4,23.8,0.3,4.2,6.7,20.1,8.2,16.1,20,24.4,29.2,19.5,33.5,25.3,99,6.1,0,127.21,NA,48.2,161.6
"97115","Guadeloupe","Lamentin",6049,6671,1119,18.5,5594,6646,4134,73.9,7.3,17,24.1,0.6,5,5.8,19.7,11.4,14.9,19.8,22.8,25,19,32.6,24.8,96,4.1,0,249.3,NA,43.4,163.1
"97116","Guadeloupe","Morne-à-l'Eau",5076,8101,915,18.03,5239,7532,3807,72.67,7.1,14.5,23.4,0.7,3.8,2.6,18,10.7,10.4,25.8,28.1,27.8,19.1,45.5,17.3,114,3.2,0,255.74,NA,49.7,183.1
"97117","Guadeloupe","Le Moule",8023,9809,1802,22.46,7992,9345,5728,71.67,6.2,16.3,24.1,1.5,5.7,4,17.1,12.4,11,24.6,23.7,32.1,20.4,45.6,18.2,106,4.5,19.1,267.37,NA,49.8,176.7
"97118","Guadeloupe","Petit-Bourg",8667,8814,1370,15.81,8125,8679,5167,63.59,5.8,19.5,23.2,0.5,5.8,10.9,17.9,9.2,15.1,19.4,21.3,23.4,14.4,30.1,33.2,94,3.7,0,190.58,NA,38.8,121.2
"97119","Guadeloupe","Petit-Canal",2346,4192,452,19.27,2888,3465,2224,77.01,7.3,14.1,25.5,2.4,4.5,1.9,17,12.7,11.1,23.8,26.5,24.4,19.5,40.6,18.1,105,3.7,0,116.35,NA,46.4,141.7
"97120","Guadeloupe","Pointe-à-Pitre",5188,5846,825,15.9,4670,5939,3180,68.09,12.1,16.1,19,0.2,5,3.3,20.5,10.4,10.1,21.4,29.1,36.9,23.3,43.2,18.8,103,10.6,84.3,5707.14,NA,49.2,267.4
"97121","Guadeloupe","Pointe-Noire",2425,4111,497,20.49,2581,3824,1930,74.78,6.4,13.3,25.7,0.2,5.2,2.1,18.1,10.7,7.3,28.9,27.4,34.8,27.3,47.4,13.2,114,0.9,0,101.02,NA,54.4,210.5
"97122","Guadeloupe","Port-Louis",1589,3564,324,20.39,1902,3101,1457,76.6,6.7,16.3,23.1,2.6,3,2,16.3,9.2,7.9,25.5,33.4,30.2,26.1,43.9,14.6,109,6.9,0,126.99,NA,54.5,200.8
