Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Médiane du revenu disponible par UC 2020
02215;Corbeny;21960
02216;Corcy;22820
02217;Coucy-le-Château-Auffrique;21100
02218;Coucy-lès-Eppes;20550
02219;Coucy-la-Ville;20390
02220;Coulonges-Cohan;21830
02221;Coupru;23600
02222;Courbes;N/A
02223;Courboin;21300
02224;Courcelles-sur-Vesle;20360
02225;Courchamps;N/A
02226;Courmelles;21780
02227;Courmont;23190
02228;Courtemont-Varennes;20890
02229;Courtrizy-et-Fussigny;N/A
02230;Couvrelles;23650
02231;Couvron-et-Aumencourt;19790
02232;Coyolles;22690
02233;Cramaille;22030
02234;Craonne;N/A
02235;Craonnelle;19490
02236;Crécy-au-Mont;20610
02237;Crécy-sur-Serre;19810
02238;Crépy;20040
02239;Crézancy;20300
02240;Croix-Fonsomme;20930
02241;La Croix-sur-Ourcq;N/A
02242;Crouttes-sur-Marne;23860
02243;Crouy;20380
02244;Crupilly;N/A
02245;Cuffies;21270
02246;Cugny;22510
02248;Cuirieux;17720
02249;Cuiry-Housse;22300
02250;Cuiry-lès-Chaudardes;N/A
02251;Cuiry-lès-Iviers;N/A
02252;Cuissy-et-Geny;N/A
02253;Cuisy-en-Almont;23960
02254;Cutry;23000
02255;Cys-la-Commune;20400
02256;Dagny-Lambercy;19460
02257;Dallon;26100
02258;Dammard;21810
02259;Dampleux;24750
02260;Danizy;19450
02261;Dercy;21300
02262;Deuillet;22810
02263;Dhuizel;23340
02264;Dizy-le-Gros;18950
02265;Dohis;N/A
02266;Dolignon;N/A
02267;Dommiers;20480
02268;Domptin;23340
02269;Dorengt;20440
02270;Douchy;20920
02271;Dravegny;18290
02272;Droizy;N/A
02273;Dury;21680
02274;Ébouleau;19630
02275;Effry;16980
02276;Englancourt;22880
02277;Épagny;20860
02278;Éparcy;N/A
02279;Épaux-Bézu;24150
02280;Épieds;23400
02281;L'Épine-aux-Bois;22240
02282;Eppes;20590
02283;Erlon;19900
02284;Erloy;N/A
02286;Esquéhéries;20540
02287;Essigny-le-Grand;24610
02288;Essigny-le-Petit;20610
02289;Essises;23550
02290;Essômes-sur-Marne;23180
02291;Estrées;22170
02292;Étampes-sur-Marne;21390
02293;Étaves-et-Bocquiaux;20950
02294;Étouvelles;23060
02295;Étréaupont;18270
02296;Étreillers;22730
02297;Étrépilly;22350
02298;Étreux;19500
02299;Évergnicourt;21460
02302;Faverolles;23690
02303;Fayet;32520
02304;La Fère;15660
02305;Fère-en-Tardenois;18960
02306;La Ferté-Chevresis;19220
02307;La Ferté-Milon;22320
02308;Fesmy-le-Sart;19200
02309;Festieux;20630
02310;Fieulaine;22580
02311;Filain;21800
02312;La Flamengrie;20120
02313;Flavigny-le-Grand-et-Beaurain;21660
02315;Flavy-le-Martel;21350
02316;Fleury;25620
02317;Fluquières;25570
02318;Folembray;19510
02319;Fonsomme;19260
02320;Fontaine-lès-Clercs;25320
02321;Fontaine-lès-Vervins;21130
02322;Fontaine-Notre-Dame;24490
02323;Fontaine-Uterte;22470
02324;Fontenelle;21390
02326;Fontenoy;22190
02327;Foreste;19100
02328;Fossoy;24270
02329;Fourdrain;24080
02330;Francilly-Selency;26260
02331;Franqueville;19000
02332;Fresnes-en-Tardenois;21850
02333;Fresnes-sous-Coucy;20210
02334;Fresnoy-le-Grand;18600
02335;Fressancourt;20420
02336;Frières-Faillouël;22410
02337;Froidestrées;21020
02338;Froidmont-Cohartille;20550
02339;Gandelu;22000
02340;Gauchy;20340
02341;Gercy;22220
02342;Gergny;22630
02343;Germaine;20610
02345;Gibercourt;N/A
02346;Gizy;21050
02347;Gland;25050
02349;Goudelancourt-lès-Berrieux;N/A
02350;Goudelancourt-lès-Pierrepont;20310
02351;Goussancourt;24520
02352;Gouy;19380
