Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Densité de population 2019
02061;Becquigny;52.68
02062;Belleau;20.39
02063;Bellenglise;59.06
02064;Belleu;845.92
02065;Bellicourt;61.41
02066;Benay;28.78
02067;Bergues-sur-Sambre;47.62
02068;Berlancourt;16.92
02069;Berlise;15.93
02070;Bernot;26.87
02071;Berny-Rivière;83.61
02072;Berrieux;37.35
02073;Berry-au-Bac;82.72
02074;Bertaucourt-Epourdon;79.49
02075;Berthenicourt;63.52
02076;Bertricourt;33.93
02077;Berzy-le-Sec;32.42
02078;Besmé;61.28
02079;Besmont;9.39
02080;Besny-et-Loizy;34.12
02081;Béthancourt-en-Vaux;100.93
02082;Beugneux;14.32
02083;Beuvardes;47.89
02084;Bézu-le-Guéry;23.15
02085;Bézu-Saint-Germain;91.19
02086;Bichancourt;130.14
02087;Bieuxy;7.56
02088;Bièvres;34.85
02089;Billy-sur-Aisne;153.68
02090;Billy-sur-Ourcq;20.35
02091;Blanzy-lès-Fismes;18.03
02093;Blérancourt;120.19
02094;Blesmes;47.84
02095;Bohain-en-Vermandois;179.14
02096;Bois-lès-Pargny;19.09
02097;Boncourt;19.26
02098;Bonneil;179.62
02099;Bonnesvalyn;34.86
02100;Bony;17.29
02101;Bosmont-sur-Serre;19.83
02102;Bouconville-Vauclair;14.65
02103;Boué;128.26
02104;Bouffignereux;22.71
02105;Bouresches;26.06
02106;Bourg-et-Comin;158.2
02107;Bourguignon-sous-Coucy;38.21
02108;Bourguignon-sous-Montbavin;82.81
02109;La Bouteille;25
02110;Braine;192.51
02111;Brancourt-en-Laonnois;109.91
02112;Brancourt-le-Grand;42.09
02114;Brasles;209.8
02115;Braye-en-Laonnois;23.49
02116;Braye-en-Thiérache;16.03
02117;Bray-Saint-Christophe;23.61
02118;Braye;96.27
02119;Brécy;32.77
02120;Brenelle;45.16
02121;Breny;53.1
02122;Brie;19.29
02123;Brissay-Choigny;33.52
02124;Brissy-Hamégicourt;52.58
02125;Brumetz;26.66
02126;Brunehamel;51.12
02127;Bruyères-sur-Fère;21.22
02128;Bruyères-et-Montbérault;127.05
02129;Bruys;3.16
02130;Bucilly;15.1
02131;Bucy-le-Long;144.71
02132;Bucy-lès-Cerny;22.2
02133;Bucy-lès-Pierrepont;27.94
02134;Buire;208.72
02135;Buironfosse;65.74
02136;Burelles;9.26
02137;Bussiares;21.62
02138;Buzancy;42.11
02139;Caillouël-Crépigny;66.67
02140;Camelin;49.84
02141;La Capelle;145.02
02142;Castres;44.31
02143;Le Catelet;451.22
02144;Caulaincourt;24.16
02145;Caumont;95.45
02146;Celles-lès-Condé;24.04
02148;Celles-sur-Aisne;41.4
02149;Cerizy;15.5
02150;Cerny-en-Laonnois;8.73
02151;Cerny-lès-Bucy;36.36
02152;Cerseuil;19.31
02153;Cessières-Suzy;37.8
02154;Chacrise;28.65
02155;Chaillevois;76.5
02156;Chalandry;33.55
02157;Chambry;94.04
02158;Chamouille;81.74
02159;Champs;32.21
02160;Chaourse;29.25
02162;La Chapelle-sur-Chézy;36.84
02163;Charly-sur-Marne;125.97
02164;Le Charmel;33.06
02165;Charmes;451.91
02166;Chartèves;40.64
02167;Chassemy;82.03
02168;Château-Thierry;921.69
02169;Châtillon-lès-Sons;7.95
02170;Châtillon-sur-Oise;47.71
02171;Chaudardes;18.72
02172;Chaudun;29.58
02173;Chauny;877.48
02174;Chavignon;71.77
02175;Chavigny;30.49
02176;Chavonne;56.91
02177;Chérêt;37.47
02178;Chermizy-Ailles;9.68
02179;Chéry-Chartreuve;28.12
02180;Chéry-lès-Pouilly;41.87
02181;Chéry-lès-Rozoy;16.7
02182;Chevennes;19.31
02183;Chevregny;20.9
02184;Chevresis-Monceau;20.83
02185;Chézy-en-Orxois;24.15
02186;Chézy-sur-Marne;60.23
02187;Chierry;402.13
02188;Chigny;14.04
02189;Chivres-en-Laonnois;25.81
02190;Chivres-Val;93.5
02191;Chivy-lès-Étouvelles;147.74
02192;Chouy;18.52
02193;Cierges;7.91
02194;Cilly;20
02195;Ciry-Salsogne;101.68
02196;Clacy-et-Thierret;73.87
02197;Clairfontaine;37.39
02198;Clamecy;67.06
02199;Clastres;72.94
02200;Clermont-les-Fermes;11.4
02201;Cœuvres-et-Valsery;35.22
02203;Coincy;74.36
02204;Coingt;8.89
02205;Colligis-Crandelain;35.07
02206;Colonfay;23.1
02207;Commenchon;64.86
02208;Concevreux;21.34
02209;Condé-en-Brie;155.26
02210;Condé-sur-Aisne;97.59
02211;Condé-sur-Suippe;50.43
02212;Condren;126.88
02213;Connigis;62.82
02214;Contescourt;17.84
02215;Corbeny;55.22
02216;Corcy;40.55
02217;Coucy-le-Château-Auffrique;86.56
02218;Coucy-lès-Eppes;104.15
02219;Coucy-la-Ville;32.73
02220;Coulonges-Cohan;15.17
02221;Coupru;19.44
02222;Courbes;10.13
02223;Courboin;21.39
02224;Courcelles-sur-Vesle;39.27
02225;Courchamps;30.88
02226;Courmelles;275.59
02227;Courmont;12.17
02228;Courtemont-Varennes;56.69
02229;Courtrizy-et-Fussigny;16.82
02230;Couvrelles;24.8
02231;Couvron-et-Aumencourt;70.59
02232;Coyolles;14.75
02233;Cramaille;17.86
02234;Craonne;9.63
02235;Craonnelle;19.46
02236;Crécy-au-Mont;27.9
02237;Crécy-sur-Serre;83.91
02238;Crépy;65.56
02239;Crézancy;176.2
02240;Croix-Fonsomme;23.27
02241;La Croix-sur-Ourcq;9.19
02242;Crouttes-sur-Marne;148.04
02243;Crouy;281.6
02244;Crupilly;17.9
02245;Cuffies;359.56
02246;Cugny;65
02248;Cuirieux;24.15
02249;Cuiry-Housse;11.71
02250;Cuiry-lès-Chaudardes;14.17
02251;Cuiry-lès-Iviers;5.64
02252;Cuissy-et-Geny;14.29
02253;Cuisy-en-Almont;39.04
02254;Cutry;26.93
02255;Cys-la-Commune;34.85
02256;Dagny-Lambercy;12.85
02257;Dallon;75.22
02258;Dammard;46.48
02259;Dampleux;47.86
02260;Danizy;144.77
02261;Dercy;35
02262;Deuillet;56.12
02263;Dhuizel;16.45
02264;Dizy-le-Gros;36.57
02265;Dohis;12.22
02266;Dolignon;13.61
02267;Dommiers;40.33
02268;Domptin;141.89
02269;Dorengt;14.76
02270;Douchy;32.48
02271;Dravegny;8.3
02272;Droizy;14.39
02273;Dury;26.74
02274;Ébouleau;14.97
02275;Effry;115.16
02276;Englancourt;14.68
02277;Épagny;31.09
02278;Éparcy;3.72
02279;Épaux-Bézu;28.36
02280;Épieds;21.92
02281;L'Épine-aux-Bois;20.7
02282;Eppes;55.38
02283;Erlon;32.25
02284;Erloy;13.71
02286;Esquéhéries;53.49
02287;Essigny-le-Grand;78.33
02288;Essigny-le-Petit;76.6
02289;Essises;56.22
02290;Essômes-sur-Marne;96.15
02291;Estrées;58.24
02292;Étampes-sur-Marne;582.59
02293;Étaves-et-Bocquiaux;40.42
02294;Étouvelles;86.97
02295;Étréaupont;48.49
02296;Étreillers;137.74
02297;Étrépilly;23.59
02298;Étreux;137.07
02299;Évergnicourt;59.67
02302;Faverolles;23.28
02303;Fayet;116.04
02304;La Fère;421.69
02305;Fère-en-Tardenois;147.11
02306;La Ferté-Chevresis;21.32
02307;La Ferté-Milon;112.26
02308;Fesmy-le-Sart;29.64
02309;Festieux;100.6
02310;Fieulaine;32.04
02311;Filain;25.1
02312;La Flamengrie;41.62
02313;Flavigny-le-Grand-et-Beaurain;32.58
02315;Flavy-le-Martel;130.09
02316;Fleury;19.66
02317;Fluquières;41.6
02318;Folembray;156.05
02319;Fonsomme;51.04
02320;Fontaine-lès-Clercs;44.47
02321;Fontaine-lès-Vervins;45.64
02322;Fontaine-Notre-Dame;32.44
02323;Fontaine-Uterte;23.22
02324;Fontenelle;26.84
02326;Fontenoy;52.05
02327;Foreste;33
02328;Fossoy;71.45
02329;Fourdrain;44.97
02330;Francilly-Selency;97.61
02331;Franqueville;36.18
02332;Fresnes-en-Tardenois;29.98
02333;Fresnes-sous-Coucy;22.47
02334;Fresnoy-le-Grand;196.28
02335;Fressancourt;72.91
02336;Frières-Faillouël;64.42
02337;Froidestrées;34.22
02338;Froidmont-Cohartille;28.6
02339;Gandelu;68.79
02340;Gauchy;838.94
02341;Gercy;42.34
02342;Gergny;22.87
02343;Germaine;17.84
